"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","20 Apr 2023","8290.95","8306.50","8267.55","8281.50"
"NIFTY TOTAL MARKET","19 Apr 2023","8302.35","8305.65","8265.25","8278.50"
"NIFTY TOTAL MARKET","18 Apr 2023","8328.10","8328.45","8274.80","8299.60"
"NIFTY TOTAL MARKET","17 Apr 2023","8339.05","8339.05","8242.50","8303.15"
"NIFTY TOTAL MARKET","13 Apr 2023","8325.05","8336.30","8291.60","8330.15"
"NIFTY TOTAL MARKET","12 Apr 2023","8300.65","8326.45","8284.10","8321.95"
"NIFTY TOTAL MARKET","11 Apr 2023","8273.25","8295.50","8251.75","8280.95"
"NIFTY TOTAL MARKET","10 Apr 2023","8242.75","8261.55","8225.15","8237.65"
"NIFTY TOTAL MARKET","06 Apr 2023","8187.85","8235.25","8172.60","8220.95"
"NIFTY TOTAL MARKET","05 Apr 2023","8141.75","8197.00","8136.45","8191.75"
"NIFTY TOTAL MARKET","03 Apr 2023","8137.85","8137.90","8095.35","8130.60"
"NIFTY TOTAL MARKET","31 Mar 2023","8038.95","8113.45","8037.15","8102.10"
"NIFTY TOTAL MARKET","29 Mar 2023","7911.45","8002.10","7911.45","7984.80"
"NIFTY TOTAL MARKET","28 Mar 2023","7952.45","7958.45","7889.10","7908.10"
"NIFTY TOTAL MARKET","27 Mar 2023","7965.10","7985.45","7924.20","7937.30"
"NIFTY TOTAL MARKET","24 Mar 2023","8023.80","8037.70","7938.00","7949.75"
"NIFTY TOTAL MARKET","23 Mar 2023","8031.45","8068.70","8012.60","8020.55"
"NIFTY TOTAL MARKET","22 Mar 2023","8056.40","8071.65","8036.20","8051.45"
"NIFTY TOTAL MARKET","21 Mar 2023","8006.05","8033.10","7983.95","8023.65"
"NIFTY TOTAL MARKET","20 Mar 2023","8013.10","8015.00","7904.55","7971.10"
"NIFTY TOTAL MARKET","17 Mar 2023","8038.40","8054.60","7978.70","8029.85"
"NIFTY TOTAL MARKET","16 Mar 2023","7980.05","8011.25","7900.60","7979.40"
"NIFTY TOTAL MARKET","15 Mar 2023","8052.50","8072.75","7963.40","7975.50"
"NIFTY TOTAL MARKET","14 Mar 2023","8054.50","8075.00","7967.45","7996.40"
"NIFTY TOTAL MARKET","13 Mar 2023","8178.80","8217.50","8031.40","8049.95"
"NIFTY TOTAL MARKET","10 Mar 2023","8186.40","8188.65","8129.65","8178.00"
"NIFTY TOTAL MARKET","09 Mar 2023","8324.60","8328.50","8238.15","8246.45"
"NIFTY TOTAL MARKET","08 Mar 2023","8264.85","8316.00","8236.30","8310.10"
"NIFTY TOTAL MARKET","06 Mar 2023","8267.50","8319.70","8265.10","8285.85"
"NIFTY TOTAL MARKET","03 Mar 2023","8176.90","8247.40","8171.55","8226.40"
"NIFTY TOTAL MARKET","02 Mar 2023","8159.80","8167.50","8116.35","8122.15"
"NIFTY TOTAL MARKET","01 Mar 2023","8103.75","8170.55","8100.00","8164.90"
"NIFTY TOTAL MARKET","28 Feb 2023","8099.20","8118.30","8058.25","8082.50"
"NIFTY TOTAL MARKET","27 Feb 2023","8130.10","8134.75","8053.10","8098.00"
"NIFTY TOTAL MARKET","24 Feb 2023","8197.70","8208.45","8129.00","8146.15"
"NIFTY TOTAL MARKET","23 Feb 2023","8192.30","8207.15","8127.65","8166.00"
"NIFTY TOTAL MARKET","22 Feb 2023","8270.00","8273.75","8169.40","8184.60"
"NIFTY TOTAL MARKET","21 Feb 2023","8341.15","8346.95","8292.35","8303.10"
"NIFTY TOTAL MARKET","20 Feb 2023","8365.10","8371.70","8307.60","8317.20"
"NIFTY TOTAL MARKET","17 Feb 2023","8371.50","8394.45","8333.15","8353.90"
"NIFTY TOTAL MARKET","16 Feb 2023","8404.80","8425.20","8384.45","8397.40"
"NIFTY TOTAL MARKET","15 Feb 2023","8316.10","8379.55","8308.20","8371.80"
"NIFTY TOTAL MARKET","14 Feb 2023","8316.55","8343.30","8283.75","8332.65"
"NIFTY TOTAL MARKET","13 Feb 2023","8359.95","8366.10","8284.30","8296.95"
"NIFTY TOTAL MARKET","10 Feb 2023","8348.05","8370.70","8336.55","8361.70"
"NIFTY TOTAL MARKET","09 Feb 2023","8372.40","8382.15","8327.95","8368.40"
"NIFTY TOTAL MARKET","08 Feb 2023","8312.00","8377.45","8309.95","8367.30"
"NIFTY TOTAL MARKET","07 Feb 2023","8323.95","8335.40","8266.15","8297.60"
"NIFTY TOTAL MARKET","06 Feb 2023","8317.35","8325.95","8279.05","8314.70"
"NIFTY TOTAL MARKET","03 Feb 2023","8300.05","8334.65","8209.75","8329.20"
"NIFTY TOTAL MARKET","02 Feb 2023","8220.25","8292.20","8186.05","8263.95"
"NIFTY TOTAL MARKET","01 Feb 2023","8385.45","8440.55","8143.25","8267.90"
"NIFTY TOTAL MARKET","31 Jan 2023","8299.15","8334.20","8234.15","8319.00"
"NIFTY TOTAL MARKET","30 Jan 2023","8244.65","8327.50","8170.90","8269.80"
"NIFTY TOTAL MARKET","27 Jan 2023","8442.10","8445.05","8228.40","8281.40"
"NIFTY TOTAL MARKET","25 Jan 2023","8555.25","8557.65","8433.80","8448.50"
"NIFTY TOTAL MARKET","24 Jan 2023","8604.15","8609.15","8555.55","8568.30"
"NIFTY TOTAL MARKET","23 Jan 2023","8584.20","8591.75","8557.45","8577.45"
"NIFTY TOTAL MARKET","20 Jan 2023","8593.90","8602.30","8542.50","8548.80"
"NIFTY TOTAL MARKET","19 Jan 2023","8592.85","8608.80","8571.25","8588.80"
"NIFTY TOTAL MARKET","18 Jan 2023","8587.30","8622.25","8565.30","8614.65"
"NIFTY TOTAL MARKET","17 Jan 2023","8540.30","8583.85","8519.40","8575.70"
"NIFTY TOTAL MARKET","16 Jan 2023","8578.60","8591.55","8511.55","8527.05"
"NIFTY TOTAL MARKET","13 Jan 2023","8521.95","8562.70","8477.35","8549.50"
"NIFTY TOTAL MARKET","12 Jan 2023","8541.05","8550.70","8470.40","8512.35"
"NIFTY TOTAL MARKET","11 Jan 2023","8547.65","8565.95","8500.45","8524.95"
"NIFTY TOTAL MARKET","10 Jan 2023","8617.55","8618.95","8502.65","8537.50"
"NIFTY TOTAL MARKET","09 Jan 2023","8558.35","8619.25","8554.85","8606.25"
"NIFTY TOTAL MARKET","06 Jan 2023","8581.15","8590.95","8479.50","8508.65"
"NIFTY TOTAL MARKET","05 Jan 2023","8605.80","8614.60","8516.75","8572.45"
"NIFTY TOTAL MARKET","04 Jan 2023","8671.05","8677.45","8566.35","8575.95"
